,name,restaurant,city,price,rating,deliveryTime
289,The Hungry Helpers,the-hungry-helpers-viman-nagar-viman-nagar,pune,300,Too Few Ratings,47
290,The Pizza Nut,the-pizza-nut-viman-nagar-viman-nagar,pune,300,Too Few Ratings,43
291,THE MOUSSE COUPLE,the-mousse-couple-kharadi-kharadi,pune,300,Too Few Ratings,41
292,The Royal Biryani Burger and Momos,cheesy-pizza-house-vishrantwadi-vishrantwadi,pune,300,Too Few Ratings,45
293,Cakes N Cakes,cake-n-cakes-viman-nagar-viman-nagar,pune,300,100+ ratings,38
294,Badshahs Of BIRYANI,badshahs-of-biryani-magarpatta-magarpatta,pune,300,100+ ratings,52
295,Tasty Punjab,tasty-punjab-magarpatta-magarpatta,pune,300,1000+ ratings,45
296,Burger Craft,burger-craft-viman-nagar-viman-nagar,pune,800,100+ ratings,43
297,Falahaar,falahaar-viman-nagar,pune,250,500+ ratings,40
298,Rollfie,rollfie-viman-nagar-viman-nagar,pune,200,500+ ratings,41
299,Night Option,night-option-viman-nagar-viman-nagar,pune,300,20+ ratings,42
300,REDDYS RESTAURANT TANDOORI,reddys-restaurant-tandoori-viman-nagar-viman-nagar,pune,350,20+ ratings,48
301,Aadi's Burgers and Food,aadi's-burgers-and-food-magarpatta-magarpatta,pune,140,Too Few Ratings,45
302,Khaolite-X,khaolite-x-hadapsar-pune-hadapsar,pune,300,100+ ratings,44
303,Hyderabadi Laziz,hyderabadi-laziz-kharadi-kharadi,pune,300,100+ ratings,39
304,Jashn E Punjab,jashn-e-punjab-kharadi-kharadi,pune,200,Too Few Ratings,48
305,A1 Zaika,a1restaurant-lohgaon-lohgaon,pune,300,Too Few Ratings,48
306,Hotel Mughal Darbaar,hotel-arab-zaika-swargate,pune,200,Too Few Ratings,47
307,Malang Biryani,malang-biryani-kharadi-kharadi,pune,200,Too Few Ratings,47
308,HALAAL RESTUARANT,halaal-restuarant-lohgaon-lohgaon,pune,300,Too Few Ratings,47
309,Beef Locknawi Special,food-point-lohgaon-lohgaon-2,pune,300,Too Few Ratings,48
310,AL QURESH BEEF,royal-pune-lohgaon-lohgaon-2,pune,300,Too Few Ratings,47
311,Just To Eat Restaurant,just-to-eat-restaurant-magarpatta-magarpatta,pune,400,Too Few Ratings,49
312,Hedayet,hedayet-lohgaon-lohgaon,pune,300,Too Few Ratings,47
313,COMBOMAN,comboman-magarpatta-magarpatta,pune,400,50+ ratings,42
314,MUGHAL DARBAR,mughal-darbar-lohgaon-lohgaon,pune,300,20+ ratings,48
315,Chan Tara,chan-tara-lohgaon-lohgaon,pune,300,Too Few Ratings,50
316,DELHI  DARBAR,delhi-darbar-lohgaon-lohgaon,pune,300,Too Few Ratings,49
317,Noodle Kings Restaurant,noodle-kings-restaurant-magarpatta-magarpatta,pune,1200,Too Few Ratings,48
318,Bikaner sweets,bikaner-sweets-kharadi-kharadi-2,pune,200,20+ ratings,44
319,Subhanallah,shubhanallah-lohgaon-lohgaon,pune,300,Too Few Ratings,46
320,Rocket Singh paratha,rocket-singh-paratha-viman-nagar-viman-nagar,pune,200,50+ ratings,44
321,HYDERABADI BIRYANI,hyderabadi-biryani-viman-nagar-viman-nagar,pune,350,Too Few Ratings,45
322,Khichdi Junction,khichdi-junction-vishrantwadi-vishrantwadi,pune,200,20+ ratings,43
323,MAMA BIRYANI BY REDDYS,mama-biryani-by-reddys-viman-nagar-viman-nagar,pune,350,Too Few Ratings,44
324,AMBIENCE KITCHEN GRILL,ambience-kitchen-grill-viman-nagar-viman-nagar,pune,400,Too Few Ratings,45
325,Curry Magic,curry-magic-viman-nagar-viman-nagar,pune,500,Too Few Ratings,43
326,Delhi 6,delhi-6-viman-nagar-viman-nagar-2,pune,200,20+ ratings,44
327,BIRYANI CHEF BY REDDYS,biryani-chef-by-reddys-viman-nagar-viman-nagar,pune,350,Too Few Ratings,45
328,Yogi's Food,yogis-food-viman-nagar-viman-nagar,pune,250,20+ ratings,44
329,Italian Pizza Hub,italian-pizza-hub-kharadi-kharadi,pune,520,Too Few Ratings,38
330,Burger It Up,burger-it-up-kharadi-kharadi,pune,150,100+ ratings,46
331,Cakes and Desserts By WarmOven,warmoven-cake-&-desserts-viman-nagar-viman-nagar,pune,200,100+ ratings,44
332,Momo Zone - The Momo Company,momo-zone-–-the-momo-company-viman-nagar-viman-nagar,pune,200,20+ ratings,49
333,THE CHEFS CHOICE,the-chefs-choice-viman-nagar-viman-nagar,pune,300,Too Few Ratings,40
334,Naughty Cravings,naughty-cravings-viman-nagar-viman-nagar,pune,300,Too Few Ratings,46
335,Chinese Town,chinese-town-magarpatta-magarpatta,pune,200,Too Few Ratings,46
336,KHICHDI ETC,khichdi-etc-kharadi-kharadi,pune,400,1000+ ratings,42
337,Apna Punjab,apna-punjab-magarpatta-magarpatta,pune,400,1000+ ratings,49
338,SWAD THE REAL TASTE,swad-the-real-taste-viman-nagar-viman-nagar,pune,300,20+ ratings,46
339,Big Reddy's,big-reddy's-viman-nagar-viman-nagar,pune,900,Too Few Ratings,49
340,Zishan Caterers,zishan-caterers-kharadi,pune,200,Too Few Ratings,47
